"fips","pop_density","prop_gen_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","generalist_count","lat","US_L3NAME","broad_group","s_prop_gen_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01001",36.13780506,0.885240963855422,68,17.63111303,1396,-1229.07453081657,0.342420259257448,90.5565577896151,58.0215127352333,1,32.53954674,"Southeastern Plains","White / red / jack pine group",0.918197301470855,0.820814734649438,0.914726555709833,-0.112017766040728,-0.834936500526964,-0.128187972517551,1.07651755733817,1.18060200930997,2.33892997220835,"High"
"01003",53.01292518,0.832525951557093,62,19.26576648,1656.670588,-1290.19467893973,0.486605646525123,78.130415675401,48.4911672417375,2,30.72889271,"Southeastern Plains","White / red / jack pine group",0.60896211689272,0.388803667957856,0.194326951254567,-0.246424746855698,0.478379964861562,-0.0770301676287767,1.88297650998312,1.56013280730846,1.94196669808447,"High"
"01005",10.91808529,0.919419067697353,56,17.99008462,1333.0625,-1288.5632815264,0.337724974685297,88.0131447685182,54.8661042092378,0,31.86794216,"Southeastern Plains","White / red / jack pine group",1.11869184352421,0.732389657728384,0.676208964131091,-0.242837203180359,-0.877703625928119,-0.204642865529787,0.88180241620345,1.26394736548408,1.54500342396058,"High"
"01007",13.8780279,0.877974543442169,54,16.82691383,1462.285714,-1357.32606776809,0.329319805880323,83.3636892978619,53.1386549581938,1,32.99526918,"Ridge and Valley","White / red / jack pine group",0.875571249427122,0.570745263277462,0.545630932304443,-0.394050817266294,-0.954262331322095,-0.195669645460978,1.28159135526033,0.993884534651498,1.41268233258595,"High"
"01009",34.5784677,0.869249394673123,50,15.56345061,1447.94898,-1147.46990722652,0.363125191564015,86.7991436867479,53.6541683306695,1,33.98234094,"Southwestern Appalachians","White / red / jack pine group",0.824388049946902,0.690183323897678,0.584598630786765,0.0674358415516353,-0.646345069534807,-0.132915184878198,1.23723657179704,0.700535993938878,1.14804014983669,"High"
"01011",6.306555245,0.913588178605846,56,17.87502729,1383.438776,-1317.50577337209,0.380756561601145,118.878432586992,58.2772951684378,1,32.09960249,"Southeastern Plains","White / red / jack pine group",1.08448686118896,1.80546171755529,0.93406117100084,-0.306483530384972,-0.485749262872837,-0.218622958862648,1.0376558214258,1.23723356858084,1.54500342396058,"High"
"01013",9.804162544,0.912724850099933,64,18.01783807,1462.638095,-1377.26958627564,0.322277703378292,107.727255186031,55.8980511044462,1,31.75293353,"Southeastern Plains","White / red / jack pine group",1.07942243004804,1.41777646499845,0.7542139153298,-0.437907846277837,-1.01840551075332,-0.208019780307034,1.28268154657947,1.27039110989101,2.07428778945909,"High"
"01015",72.85281641,0.845450168512277,46,15.94370424,1400.290323,-1300.43891070936,0.329528750064544,74.7359187083688,48.6638536096465,1,33.77376946,"Ridge and Valley","White / red / jack pine group",0.684777761078596,0.270789545623664,0.207380328093986,-0.268952445253127,-0.952359157618541,-0.0168845048221495,1.08979089753215,0.788822574581231,0.88339796708743,"High"
"01017",21.63440005,0.934074457083764,49,16.64250984,1413.176471,-1256.15785275806,0.31063467550379,111.041268640089,59.2315539585414,1,32.91358935,"Piedmont","White / red / jack pine group",1.2046628382064,1.53299247284373,1.00619367190626,-0.171575663794188,-1.12445634228574,-0.172155799617348,1.12965787868811,0.951069959195882,1.08187960414937,"High"
"01019",18.16031066,0.833667334669339,52,15.51629923,1432.034091,-1246.50402902632,0.318254060568822,86.0946723979253,51.9341592204227,2,34.17582351,"Ridge and Valley","White / red / jack pine group",0.615657663417347,0.665691459074265,0.454582999818622,-0.150346309138691,-1.05505496915307,-0.182687682407868,1.18799931487107,0.689588474219557,1.28036124121132,"High"
"01021",24.60212025,0.861339923119165,56,16.96099324,1451.737374,-1342.98308522914,0.302661948680022,114.644231319526,62.5502294731791,2,32.85042711,"Southeastern Plains","White / red / jack pine group",0.77798975107026,1.65825417805255,1.25705262866623,-0.362509712767373,-1.19707613830058,-0.163159001379678,1.24895705119937,1.0250148427131,1.54500342396058,"High"
"01023",5.391182875,0.86906269791007,72,17.76782661,1512.317073,-1285.32912049607,0.307673537290342,112.200568428433,56.8616501891461,0,32.0221262,"Southeastern Plains","White / red / jack pine group",0.823292855134917,1.57329704473535,0.827052449876634,-0.235725083316379,-1.15142794908798,-0.221397957841739,1.43637766118044,1.21234391406331,2.60357215495761,"High"
"01025",7.440699612,0.889301175015461,74,18.10381727,1534.465909,-1280.25464989435,0.360780640047394,95.1792605646092,51.5799499969508,1,31.68196134,"Southeastern Plains","White / red / jack pine group",0.942015187358756,0.98152903668039,0.427808295306838,-0.224566009038006,-0.667700479878947,-0.21518474118893,1.50490141455021,1.29035360064847,2.73589324633224,"High"
"01027",8.492858506,0.839690436705362,44,15.88105482,1471.926829,-1351.90871933585,0.307495444666258,75.9953385388581,51.1768892488358,1,33.26981661,"Piedmont","White / red / jack pine group",0.650990199418701,0.314574921598067,0.397340900004994,-0.382137733460723,-1.15305011052893,-0.211995066743446,1.31141889953713,0.77427674875696,0.751076875712801,"High"
"01029",10.30698681,0.852517985611511,44,15.47715848,1439.098765,-1475.21374165835,0.289206090145051,79.2757224361288,51.4173291668962,1,33.67668539,"Piedmont","White / red / jack pine group",0.7262387724671,0.428621753961003,0.415515773306721,-0.653293093495096,-1.319639186504,-0.206495442375781,1.20985590267612,0.680500847675987,0.751076875712801,"High"
"01031",29.70488576,0.889583333333333,47,18.38522917,1343.260417,-1294.01641613694,0.334209762349883,75.5575113738987,45.7094437146053,1,31.40149194,"Southeastern Plains","White / red / jack pine group",0.943670375808937,0.29935328813998,-0.0159437603390041,-0.254828983002348,-0.90972203172444,-0.147689702168921,0.913352586577792,1.35569129223886,0.949558512774745,"High"
"01033",35.7853014,0.787577639751553,62,15.44404681,1448.078652,-1309.65897581255,0.385697046540635,94.5642889300911,55.5875953457889,2,34.69857937,"Interior Plateau","Oak / hickory group",0.34528771198127,0.960148744279796,0.730746538843793,-0.289227937893297,-0.440748723352208,-0.129256605708463,1.23763774918383,0.672813041714324,1.94196669808447,"High"
"01035",5.548508645,0.878394811511958,47,18.11074735,1563.725806,-1312.57552201074,0.282562907049009,101.24723106366,55.548784876639,1,31.43410156,"Southeastern Plains","White / red / jack pine group",0.878036613058225,1.19248995953587,0.727812852269325,-0.295641603123889,-1.38014879783115,-0.220921016582156,1.59542526716499,1.29196261373475,0.949558512774745,"High"
"01037",6.344585383,0.907643312101911,48,16.77584542,1468.793814,-1210.58770713659,0.278931884194274,99.1313703725132,56.834868489954,2,32.93690369,"Piedmont","White / red / jack pine group",1.04961326806082,1.11892929800863,0.825028019018614,-0.0713640989279147,-1.41322206684747,-0.218507668520069,1.301726022351,0.982027566191416,1.01571905846206,"High"
"01043",43.79749277,0.826342281879195,49,15.50491052,1468.12037,-1442.96787388198,0.390331369419872,59.1943317869354,44.5228162523809,1,34.13019434,"Southwestern Appalachians","White / red / jack pine group",0.572687663926774,-0.269534030454559,-0.105641028397714,-0.582382438585569,-0.398536869165281,-0.104967230585604,1.29964253089509,0.686944264711742,1.08187960414937,"High"
"01045",33.91853603,0.861689587426326,46,18.42755909,1327.936709,-1349.96523988967,0.352645431148735,63.8428985338211,49.656131877931,0,31.43032608,"Southeastern Plains","White / red / jack pine group",0.780040941079538,-0.107920533646735,0.28238672450108,-0.377863902119368,-0.741800248228908,-0.13491580208114,0.865944317009931,1.36551937434202,0.88339796708743,"High"
"01047",15.06319959,0.851160673645881,69,17.84761987,1376.821918,-1188.71755041254,0.403672353740232,80.0268388637247,49.2095595654321,0,32.32658716,"Southeastern Plains","White / red / jack pine group",0.718276550740842,0.454735297980759,0.248630286447031,-0.0232702734792829,-0.277020155825308,-0.192076735801932,1.01718468038368,1.23087016477578,2.40509051789567,"High"
"01049",35.49104685,0.79255610290093,46,14.60705408,1477.157895,-1246.26682752712,0.356813285197895,89.2691731412588,54.6547276962402,2,34.45782868,"Southwestern Appalachians","White / red / jack pine group",0.374492219460097,0.776057125242848,0.660230996022954,-0.149824688391176,-0.703837237886283,-0.130148653690907,1.32760269702631,0.478481626247736,0.88339796708743,"High"
"01051",50.89186216,0.88622754491018,59,17.72557811,1422.229167,-1255.46099721228,0.391975512071099,107.688085966196,56.5308959363849,2,32.60089022,"Southeastern Plains","White / red / jack pine group",0.923984752924775,1.41641469589209,0.802050708541687,-0.170043235407665,-0.383561151748818,-0.0834602805620383,1.15766498064306,1.20253473590434,1.74348506102252,"High"
"01053",15.01881593,0.886430678466077,49,18.49260468,1629.465116,-1217.39192082455,0.311055142864331,107.788536972754,57.3970669446578,1,31.12599866,"Southeastern Plains","White / red / jack pine group",0.925176368745641,1.41990700638512,0.867524646729581,-0.0863269850906862,-1.12062650405996,-0.192211287177115,1.79880860817392,1.38062153846065,1.08187960414937,"High"
"01055",74.11772642,0.785216925549009,54,15.64160254,1414.371795,-1370.69329269865,0.400157027437302,69.3226615418529,48.9070213605928,1,34.04369385,"Southwestern Appalachians","White / red / jack pine group",0.331439362899445,0.0825905872271316,0.225761398509276,-0.423446170516597,-0.309039599697804,-0.0130498642961395,1.13335595505532,0.718681163704385,1.41268233258595,"High"
"01057",10.0916947,0.891012909632572,57,15.99524816,1508.26087,-1247.33026325057,0.313929658121783,95.3501821444291,51.7620136993199,1,33.72072771,"Southeastern Plains","White / red / jack pine group",0.95205651234746,0.987471348730253,0.441570505634037,-0.152163249230257,-1.09444390477468,-0.20714811161186,1.42382863810809,0.80078994606879,1.61116396964789,"High"
"01059",19.23871399,0.847476740907809,64,15.28709354,1476.94898,-1412.58128553868,0.33856955325065,98.3327465487631,55.0104952867935,2,34.44262569,"Southeastern Plains","White / red / jack pine group",0.696665977764323,1.09116409728805,0.68712349763137,-0.515560453987944,-0.870010759423324,-0.17941844658879,1.32695635877471,0.636371923377239,2.07428778945909,"High"
"01061",17.73160191,0.727895037079293,49,18.74686086,1388.294118,-1519.62198634461,0.399919975068235,36.7234977824549,38.8346216650466,0,31.09525669,"Southeastern Plains","Oak / gum / cypress group",-0.00482053705056894,-1.05076193518137,-0.535612127932021,-0.750949566439914,-0.311198797556579,-0.183987335295115,1.0526772093549,1.43965426548389,1.08187960414937,"High"
"01063",4.905769199,0.861708482676225,67,17.20161903,1408.967033,-1219.56610638243,0.488083767039235,75.1194422365111,43.7814993574226,1,32.8566071,"Southeastern Plains","White / red / jack pine group",0.780151783813618,0.284123242194264,-0.161677233828928,-0.0911081534212557,0.491843465191231,-0.222869514663294,1.11663477935515,1.08088289113506,2.27276942652104,"High"
"01065",8.845712703,0.847902783222266,57,17.2964011,1423.384615,-1237.64264456936,0.462641034187939,72.0543142309137,45.6082108788712,0,32.76023789,"Southeastern Plains","White / red / jack pine group",0.699165214091986,0.17756006216032,-0.0235959587687991,-0.130859577393527,0.260097650921883,-0.210925370881375,1.1612396892094,1.10288921587811,1.61116396964789,"High"
"01067",11.76871131,0.915352981494174,51,18.41310035,1363.60241,-1099.82437115537,0.330949985321127,84.02408250485,49.2585182357202,0,31.51140274,"Southeastern Plains","White / red / jack pine group",1.09483949363885,0.593704695993144,0.252331076385263,0.172211318203457,-0.939413798182109,-0.202064148480366,0.976286354807489,1.36216237097825,1.214200695524,"High"
"01071",18.54017626,0.75781650435674,68,14.65756782,1493.912791,-1362.47307114795,0.436309642717462,61.5054148124087,46.5722274218589,1,34.77938554,"Southwestern Appalachians","Oak / hickory group",0.17070385444584,-0.189186209395482,0.0492741314845536,-0.405369395603791,0.0202574657957077,-0.181536100071827,1.37943875564538,0.490209812458758,2.33892997220835,"High"
"01073",228.7769456,0.860487338748208,64,16.30977199,1451.889571,-1306.67440258796,0.320407668076148,78.14695838295,48.7377326165499,2,33.55705539,"Southwestern Appalachians","White / red / jack pine group",0.772988346843524,0.389378796800624,0.212964848339037,-0.282664677029956,-1.03543877743661,0.455807607698002,1.24942791611035,0.873815503987163,2.07428778945909,"High"
"01075",8.843667303,0.768037026953444,49,16.1187119,1499.82716,-1289.13968618795,0.380492099426091,80.1112555634203,49.5417878957436,1,33.77977028,"Southeastern Plains","White / red / jack pine group",0.230659169903045,0.457670154845173,0.27374345342598,-0.244104752632799,-0.488158123684273,-0.210931571617926,1.39773654622425,0.829455527612131,1.08187960414937,"High"
"01077",53.6774678,0.757594167679222,56,15.22175001,1448.490385,-1352.89851300424,0.414097622901849,66.7477443275415,44.4882836688636,2,34.90188562,"Interior Plateau","Oak / hickory group",0.169399589863265,-0.00692977413464065,-0.108251349243234,-0.384314350872219,-0.182061312176051,-0.0750155720909385,1.23891156287527,0.621200584103499,1.54500342396058,"High"
"01079",18.43012861,0.819815668202765,63,15.43396959,1457.394231,-1437.74942402204,0.386375505158553,74.2696971136913,44.1818076102506,1,34.52033016,"Interior Plateau","White / red / jack pine group",0.534401443419433,0.254580742716052,-0.131417899873586,-0.570906745025476,-0.434568964842129,-0.181869715250097,1.26645815482016,0.670473331515684,2.00812724377178,"High"
"01081",103.8818448,0.92996632996633,41,17.21693478,1401.413043,-1339.52175675992,0.328378152636713,85.4031444938616,55.1107356531239,4,32.60162662,"Piedmont","White / red / jack pine group",1.18056386920226,0.64164958793392,0.694700675216817,-0.354898037674254,-0.962839405136265,0.0771816096099811,1.09326435267821,1.08443887348682,0.552595238650857,"High"
