"fips","pop_density","prop_spec_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","specialist_count","lat","US_L3NAME","broad_group","s_prop_spec_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01001",36.13780506,0.0144578313253012,68,17.63111303,1396,812.157215130662,-0.126103382784662,-21.6813309580491,-25.412225570619,0,32.53954674,"Southeastern Plains","White / red / jack pine group",-1.15182896103362,1.39098999855395,0.77656452077058,0.0292956272661431,-0.257246447196382,-0.183996602970726,1.09313235484828,1.25675540365887,2.31219125230756,"High"
"01003",53.01292518,0.0213148788927336,62,19.26576648,1656.670588,889.395897158482,-0.0999224780595056,-48.9726912897878,-33.4386986621338,1,30.72889271,"Southeastern Plains","White / red / jack pine group",-1.11543870244352,-0.418740602353658,-0.0724451110892638,0.281165184744642,-0.0646954672076922,-0.0920163158829672,1.90212475982321,1.64067451289502,1.91833508519248,"High"
"01005",10.91808529,0.0213164675568049,56,17.99008462,1333.0625,844.261175120326,-0.172337866950919,-50.1846325444482,-40.6552479037742,0,31.86794216,"Southeastern Plains","White / red / jack pine group",-1.11543027142481,-0.499106225334737,-0.835784095109609,0.133984236439869,-0.597284170450851,-0.321460339419521,0.897805525385994,1.34106443752405,1.52447891807741,"High"
"01007",13.8780279,0.00885445489762036,54,16.82691383,1462.285714,874.363807744151,-0.0817823736137251,-55.2545846457127,-41.3631540945356,0,32.99526918,"Ridge and Valley","White / red / jack pine group",-1.18156600386082,-0.835302272408425,-0.910663705064947,0.232146666958424,0.0687183672185878,-0.305326743386126,1.29885038232417,1.06787901489742,1.39319352903905,"High"
"01009",34.5784677,0.0282485875706215,50,15.56345061,1447.94898,779.232741340881,0.180321697779477,-65.7361209556288,-38.7168476428525,0,33.98234094,"Southwestern Appalachians","White / red / jack pine group",-1.0786416043783,-1.53034849854027,-0.630747527596297,-0.0780686159592621,1.99639796177795,-0.192495997168785,1.25435626042444,0.771138642205557,1.13062275096233,"High"
"01011",6.306555245,0.0587857372309669,56,17.87502729,1383.438776,897.473343729928,-0.0453847347107448,-50.6692808057512,-40.223153131129,0,32.09960249,"Southeastern Plains","White / red / jack pine group",-0.916581364629904,-0.531243970705264,-0.79007876231034,0.307505133072264,0.336409690861394,-0.346596152049987,1.05414853664632,1.31404176330237,1.52447891807741,"High"
"01013",9.804162544,0.0159893404397069,64,18.01783807,1462.638095,897.688394657582,-0.022215375225429,-71.3000424732977,-48.1743351883736,0,31.75293353,"Southeastern Plains","White / red / jack pine group",-1.1437012629014,-1.89930039061081,-1.63112439646418,0.308206398041596,0.506811856922566,-0.327531936732137,1.29994399842733,1.34758268749454,2.04962047423084,"High"
"01015",72.85281641,0.0202214732787675,46,15.94370424,1400.290323,836.565209199225,-0.0879096431938504,-70.1781777812916,-47.0096630158311,1,33.77376946,"Ridge and Valley","White / red / jack pine group",-1.1212413912312,-1.82490787816283,-1.50792982754536,0.108888267942903,0.0236545401777151,0.0161238856769912,1.10644739260731,0.860446033269648,0.868051972885619,"High"
"01017",21.63440005,0.0118924508790072,49,16.64250984,1413.176471,826.71537384545,-0.0814258429526333,-51.3583914874621,-34.9700348609153,0,32.91358935,"Piedmont","White / red / jack pine group",-1.16544340032466,-0.57693992257228,-0.23442399864768,0.0767686925351065,0.0713405198489084,-0.26304951323646,1.14643961398283,1.02456939744891,1.06498005644316,"High"
"01019",18.16031066,0.0468937875751503,52,15.51629923,1432.034091,805.002556232217,0.0466087238234698,-59.184296591732,-39.8736850199373,1,34.17582351,"Ridge and Valley","White / red / jack pine group",-0.979691780426181,-1.09588730279963,-0.753113361810426,0.00596482043010851,1.0129879366961,-0.281985540784022,1.20496432700455,0.760064542182182,1.26190814000069,"High"
"01021",24.60212025,0.0107084019769358,56,16.96099324,1451.737374,853.406643122739,0.0145328497750643,-30.5899323496386,-29.3672622397146,0,32.85042711,"Southeastern Plains","White / red / jack pine group",-1.17172713181492,0.800247420914896,0.358215865248292,0.163806922666854,0.777081613104477,-0.24687352432195,1.26611355915372,1.09936926602931,1.52447891807741,"High"
"01023",5.391182875,0.0120329322355921,72,17.76782661,1512.317073,831.057645463608,0.00614454198460068,-41.2415175656718,-33.1495826771218,0,32.0221262,"Southeastern Plains","White / red / jack pine group",-1.1646978676675,0.0939249994849666,-0.0418635277211805,0.0909285150774301,0.715388676880292,-0.351585521772162,1.45412294204071,1.28886432304731,2.57476203038427,"High"
"01025",7.440699612,0.0253555967841682,74,18.10381727,1534.465909,838.759033787027,-0.116190402199627,-55.3752597479199,-38.3613101740494,0,31.68196134,"Southeastern Plains","White / red / jack pine group",-1.09399466730845,-0.843304417504067,-0.59314013365636,0.116042165622256,-0.184340100135607,-0.340414333862394,1.52286195951296,1.36777599383531,2.70604741942263,"High"
"01027",8.492858506,0.00165837479270315,44,15.88105482,1471.926829,852.979235991148,-0.173945673232864,-41.1473042422106,-30.6471282720771,0,33.26981661,"Piedmont","White / red / jack pine group",-1.21975550353655,0.100172424765657,0.222836530317895,0.162413180020414,-0.609108997685451,-0.334679389373474,1.32877162840848,0.845732021856059,0.736766583847261,"High"
"01029",10.30698681,0.012753433616743,44,15.47715848,1439.098765,909.351755790225,-0.252335662453153,-53.3663872079289,-39.0268113369817,1,33.67668539,"Piedmont","White / red / jack pine group",-1.16087417659393,-0.710093098436298,-0.663534301916982,0.346239745194421,-1.18563870145715,-0.324791220220937,1.2268895762376,0.750871840282684,0.736766583847261,"High"
"01031",29.70488576,0.00902777777777778,47,18.38522917,1343.260417,834.276456620779,-0.17651934933621,-40.8317778085804,-26.5533922646112,0,31.40149194,"Southeastern Plains","White / red / jack pine group",-1.18064618168277,0.121095450785425,0.655856271492168,0.101424817195474,-0.628037444241256,-0.219060161619124,0.92945480911556,1.43386915014098,0.933694667404798,"High"
"01033",35.7853014,0.084472049689441,62,15.44404681,1448.078652,870.471558874201,0.0423536952096755,-67.1059883208176,-45.3461486066488,1,34.69857937,"Interior Plateau","Oak / hickory group",-0.780264452227363,-1.62118643625508,-1.33196963431597,0.219454334894583,0.981693757290654,-0.185917975240418,1.25475869809086,0.74309514434036,1.91833508519248,"High"
"01035",5.548508645,0.00851236319416295,47,18.11074735,1563.725806,828.779956786959,-0.0955610126281603,-35.2493512995938,-33.7751436883989,0,31.43410156,"Southeastern Plains","White / red / jack pine group",-1.18338147989886,0.491274436289562,-0.108032979463528,0.0835011428851556,-0.0326184839327257,-0.350727994869361,1.61367018849255,1.36940361107769,0.933694667404798,"High"
"01037",6.344585383,0.00500454959053685,48,16.77584542,1468.793814,787.245607938112,0.0280486470998798,-63.0221983182295,-40.5680809830491,0,32.93690369,"Piedmont","White / red / jack pine group",-1.20199739919451,-1.35038426129829,-0.826563911545621,-0.051939258090987,0.87648535974892,-0.346388863272997,1.31904830151104,1.05588495066485,0.999337361923977,"High"
"01043",43.79749277,0.0285234899328859,49,15.50491052,1468.12037,929.69814027297,-0.0870144559120578,-40.4302456776043,-36.9476305358422,0,34.13019434,"Southwestern Appalachians","White / red / jack pine group",-1.07718270126418,0.147721642218983,-0.44360650717839,0.412587781196778,0.0302383152684573,-0.142246365368958,1.31695826486611,0.757389759096783,1.06498005644316,"High"
"01045",33.91853603,0.00589390962671906,46,18.42755909,1327.936709,868.69364497356,-0.169291791464979,-17.7026614049821,-23.6934346114575,0,31.43032608,"Southeastern Plains","White / red / jack pine group",-1.19727757752519,1.65482148051607,0.958371656089379,0.213656690817383,-0.574881399190861,-0.196093050347266,0.881897608730323,1.44381086909091,0.868051972885619,"High"
"01047",15.06319959,0.0757851615839781,69,17.84761987,1376.821918,798.031291070048,-0.0489951060249634,-50.3378115202442,-39.7470655593217,0,32.32658716,"Southeastern Plains","White / red / jack pine group",-0.82636564977518,-0.509263750520146,-0.739720039436096,-0.0167679531667836,0.309856730145416,-0.298866793381664,1.03361308649114,1.30760478286908,2.37783394682674,"High"
