"fips","pop_density","prop_hosts","treediversity_specrich_total","MEAN_MAT","MEAN_MAP","height_difference_NHminH","diameter_difference_NHminH","diameter_cv_t_difference_NHminH","height_cv_t_difference_NHminH","Total_pests","lat","US_L3NAME","broad_group","s_prop_hosts","s_diameter_cv_diff","s_height_cv_diff","s_height_mean_diff","s_diameter_mean_diff","s_pop_density","s_MEAN_MAP","s_MEAN_MAT","s_tree_div","temp_bin"
"01001",36.13780506,0.885240963855422,68,17.63111303,1396,-1229.07453081657,0.48761969205691,68.818612478139,30.4989846333528,1,32.53954674,"Southeastern Plains","White / red / jack pine group",0.832461669368524,0.861928081563693,0.990923389894779,-0.11435830561197,-0.910910481287996,-0.127954201823929,1.07483575687208,1.17848652579861,2.34064686585365,"High"
"01003",53.01292518,0.832525951557093,62,19.26576648,1656.670588,-1290.19467893973,0.644089638234816,58.3260764428574,25.3292593995976,3,30.72889271,"Southeastern Plains","White / red / jack pine group",0.511865967637556,0.447302413826721,0.274241921728672,-0.25030100088796,0.342980336801233,-0.0768532970400322,1.88389194918872,1.55815250399575,1.9425930796915,"High"
"01005",10.91808529,0.919419067697353,56,17.99008462,1333.0625,-1288.5632815264,0.482454728525565,65.6719080318025,28.4675710063025,0,31.86794216,"Southeastern Plains","White / red / jack pine group",1.04032187289133,0.737582124795373,0.709307552522795,-0.246672466464459,-0.952300540567212,-0.204324058125926,0.879493526302025,1.2618615676843,1.54453929352935,"High"
"01007",13.8780279,0.877974543442169,54,16.82691383,1462.285714,-1357.32606776809,0.473477043530891,61.7315693951553,27.5755783951467,1,32.99526918,"Ridge and Valley","White / red / jack pine group",0.788269644177004,0.581874721662705,0.585650192556664,-0.399613825139603,-1.02424430393836,-0.19536081849244,1.28057000477975,0.991702546641832,1.41185469814197,"High"
"01009",34.5784677,0.869249394673123,50,15.56345061,1447.94898,-1147.46990722652,0.506940669034404,63.0021350063932,27.6683611781237,1,33.98234094,"Southwestern Appalachians","White / red / jack pine group",0.735206103633961,0.632082708863486,0.598512713893449,0.0671457125959045,-0.756079497956234,-0.132676156357746,1.23607237461253,0.698249521881502,1.1464855073672,"High"
"01011",6.306555245,0.913588178605846,56,17.87502729,1383.438776,-1317.50577337209,0.530195697629627,91.7331460047823,30.4171477951309,1,32.09960249,"Southeastern Plains","White / red / jack pine group",1.00486028617239,1.76742449657894,0.979578310085897,-0.311046007274246,-0.569722516681385,-0.218288602144687,1.03584886487843,1.23513825593697,1.54453929352935,"High"
"01013",9.804162544,0.912724850099933,64,18.01783807,1462.638095,-1377.26958627564,0.466465523968746,82.6262239640719,29.1632811147727,1,31.75293353,"Southeastern Plains","White / red / jack pine group",0.999609800663419,1.40755309661793,0.805754175778679,-0.44397195813594,-1.08043196306767,-0.207697216940511,1.28166370711223,1.26830760720576,2.07527767507889,"High"
"01015",72.85281641,0.845450168512277,46,15.94370424,1400.290323,-1300.43891070936,0.474943651796373,54.5709362288046,25.1680210361247,2,33.77376946,"Ridge and Valley","White / red / jack pine group",0.590466886491972,0.298913357695562,0.251889370706435,-0.273086097465102,-1.01249146141018,-0.0167745310545075,1.08815184449371,0.786567548186688,0.881116316592438,"High"
"01017",21.63440005,0.934074457083764,49,16.64250984,1413.176471,-1256.15785275806,0.451040595249642,85.3825939025831,30.8647252801992,1,32.91358935,"Piedmont","White / red / jack pine group",1.12945122408804,1.51647449773987,1.04162618973381,-0.174596703174989,-1.2040414929679,-0.171873125848649,1.12814721917138,0.948872721612676,1.08014320967351,"High"
"01019",18.16031066,0.833667334669339,52,15.51629923,1432.034091,-1246.50402902632,0.463876176885156,64.786037704734,27.0510482166676,3,34.17582351,"Ridge and Valley","White / red / jack pine group",0.518807491576573,0.702575852274214,0.5129343244182,-0.15312478502506,-1.10118200876187,-0.182393294586218,1.18667654674306,0.687298102905789,1.27917010275459,"High"
